Situation,Next,Probability
s1,f1,0.0
s1,s1,0.9941690962099126
s1,s2,0.003861003861003861
s1,s3,0.0
s1,s4,0.0
s1,s5,0.0
s1,s6,0.0
s1,s7,0.0
s2,f1,0.0
s2,s1,0.0058309037900874635
s2,s2,0.9942084942084942
s2,s3,0.0
s2,s4,0.007194244604316547
s2,s5,0.0
s2,s6,0.0
s2,s7,0.0
s3,f1,0.0
s3,s1,0.0
s3,s2,0.0
s3,s3,0.0
s3,s4,0.0
s3,s5,0.0
s3,s6,0.0
s3,s7,0.0
s4,f1,0.0
s4,s1,0.0
s4,s2,0.0
s4,s3,0.0
s4,s4,1.0
s4,s5,0.0
s4,s6,0.0
s4,s7,0.0
s5,f1,0.0
s5,s1,0.0
s5,s2,0.0
s5,s3,0.0
s5,s4,0.0
s5,s5,0.0
s5,s6,0.0
s5,s7,0.0
s6,f1,0.0
s6,s1,0.0
s6,s2,0.0
s6,s3,0.0
s6,s4,0.0
s6,s5,0.0
s6,s6,0.0
s6,s7,0.0
s7,f1,0.0
s7,s1,0.0
s7,s2,0.0
s7,s3,0.0
s7,s4,0.0
s7,s5,0.0
s7,s6,0.0
s7,s7,0.0
